model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,class_weight,criterion,max_features,min_samples_leaf,min_samples_split,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
rf,word,TRUE,1,1,"(1, 2)",new,original,,gini,auto,1,10,0.806975113,0.314606742,0.871837412,0.745825603,0.820011179,0.682502446,0.327868852,0.748116254,0.660766962,0.697242206
rf,word,TRUE,1,1,"(1, 1)",new,stem,balanced,gini,sqrt,1,10,0.806895352,0.431654676,0.864421416,0.746215494,0.810508664,0.680902519,0.282685512,0.728691477,0.679163663,0.670263789
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced_subsample,entropy,sqrt,1,5,0.806785261,0.378378378,0.865935919,0.748858447,0.814980436,0.667167284,0.262948207,0.719308357,0.662222222,0.661870504
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,,gini,auto,1,5,0.80668991,0.32,0.86691698,0.753006475,0.817216322,0.672201022,0.324786325,0.743315508,0.644922165,0.688848921
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,,gini,sqrt,2,5,0.806688273,0.319148936,0.870146138,0.747474747,0.818334265,0.682063991,0.324324324,0.748663102,0.659778598,0.698441247
rf,word,TRUE,0.5,1,"(1, 1)",new,stem,balanced,entropy,auto,1,5,0.806666186,0.43697479,0.864795918,0.74435411,0.813303522,0.67069119,0.25498008,0.720889409,0.668604651,0.664268585
rf,word,TRUE,1,1,"(1, 1)",new,stem,,gini,auto,1,10,0.806578082,0.342857143,0.866301139,0.751361162,0.815539407,0.678365374,0.344827586,0.744086022,0.654411765,0.693645084
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,,gini,sqrt,1,10,0.806556757,0.303030303,0.867368421,0.753623188,0.81665735,0.676739211,0.344827586,0.744360902,0.65095729,0.692446043
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced_subsample,gini,sqrt,1,5,0.80655406,0.345454545,0.866242038,0.751123091,0.814421465,0.663974632,0.234817814,0.720324262,0.657856094,0.658872902
rf,word,TRUE,1,1,"(1, 1)",new,stem,balanced,entropy,sqrt,1,10,0.80651722,0.447761194,0.862694301,0.746453901,0.810508664,0.680787834,0.268551237,0.728904847,0.680173661,0.669664269
rf,word,TRUE,0.25,1,"(1, 3)",new,stem,balanced,gini,sqrt,1,5,0.806508524,0.365217391,0.865621026,0.75,0.813862493,0.665901229,0.211864407,0.723404255,0.661278472,0.661870504
rf,word,TRUE,0.5,1,"(1, 3)",new,stem,balanced_subsample,entropy,auto,1,10,0.806486017,0.327586207,0.867204073,0.751131222,0.813862493,0.665959839,0.231660232,0.720741599,0.66173205,0.658872902
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced,gini,sqrt,1,10,0.80647844,0.427350427,0.86361693,0.74688057,0.81274455,0.676035377,0.240601504,0.725768322,0.676342525,0.666666667
rf,word,TRUE,1,1,"(1, 3)",new,stem,balanced_subsample,gini,sqrt,1,5,0.806471564,0.37037037,0.866554054,0.747731397,0.814980436,0.667004546,0.236734694,0.721900348,0.662271062,0.661870504
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced_subsample,entropy,sqrt,1,10,0.806447859,0.338709677,0.865442119,0.752920036,0.812185579,0.669957731,0.25095057,0.72303207,0.665684831,0.662470024
rf,word,TRUE,1,1,"(1, 2)",new,original,,gini,auto,1,5,0.806440067,0.421052632,0.870500621,0.735459662,0.818334265,0.667451203,0.288135593,0.742158426,0.640239342,0.685251799
rf,word,TRUE,1,1,"(1, 3)",new,stem,balanced,gini,auto,1,10,0.806341689,0.338983051,0.863965885,0.755156951,0.81274455,0.671576604,0.252873563,0.722025913,0.669571532,0.663669065
rf,word,TRUE,1,1,"(1, 3)",new,stem,balanced,gini,sqrt,1,10,0.806315359,0.296296296,0.866382979,0.755357143,0.814421465,0.674789124,0.238461538,0.727058824,0.672965116,0.666666667
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced_subsample,gini,sqrt,1,10,0.806312443,0.347107438,0.864726027,0.752899197,0.812185579,0.675418102,0.24535316,0.725987036,0.674452555,0.666067146
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced_subsample,entropy,auto,1,10,0.806231873,0.406779661,0.864081807,0.7475292,0.81274455,0.668900441,0.232931727,0.72328134,0.66519174,0.663069544
rf,word,TRUE,0.25,1,"(1, 1)",new,stem,,entropy,sqrt,1,2,0.806113965,0.323232323,0.868442964,0.748375116,0.817216322,0.670637869,0.295652174,0.745618694,0.642750374,0.688848921
rf,word,TRUE,0.5,1,"(1, 2)",new,original,balanced_subsample,gini,auto,1,10,0.806075855,0.388888889,0.866386555,0.744954128,0.814980436,0.6686773,0.217687075,0.722288439,0.667155425,0.655275779
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced,gini,sqrt,1,10,0.806027579,0.440944882,0.86155165,0.747763864,0.811067636,0.672682865,0.238461538,0.722877358,0.672463768,0.664268585
rf,word,TRUE,1,1,"(1, 1)",new,stem,balanced_subsample,gini,sqrt,1,10,0.805970403,0.44137931,0.863084922,0.744888889,0.80883175,0.680241477,0.251798561,0.728579988,0.681065515,0.669064748
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,balanced,entropy,sqrt,1,10,0.805964552,0.428571429,0.86155165,0.748882931,0.811067636,0.6724,0.246153846,0.72462077,0.669603524,0.664868106
rf,word,TRUE,1,1,"(1, 3)",new,stem,,gini,sqrt,2,2,0.805938344,0.314606742,0.870539419,0.745134384,0.818893236,0.681790961,0.314814815,0.749733759,0.659259259,0.699040767
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced_subsample,gini,sqrt,1,10,0.805890919,0.344262295,0.861935484,0.756852343,0.811067636,0.675252257,0.249056604,0.726309594,0.673469388,0.666666667
rf,word,TRUE,1,1,"(1, 2)",new,lemma,balanced_subsample,gini,auto,1,10,0.805770448,0.37037037,0.865935919,0.746812386,0.814421465,0.665906385,0.219178082,0.715311005,0.667638484,0.652278177
rf,word,TRUE,1,1,"(1, 3)",new,stem,,gini,auto,1,10,0.80576695,0.294736842,0.867226891,0.7524932,0.81665735,0.677662948,0.330434783,0.745835572,0.652941176,0.693645084
rf,word,TRUE,0.25,1,"(1, 2)",new,lemma,,gini,sqrt,1,5,0.805741264,0.266666667,0.870178349,0.750232126,0.818893236,0.669318345,0.290598291,0.743221691,0.642750374,0.68705036
rf,word,TRUE,1,1,"(1, 2)",new,lemma,balanced,gini,auto,1,5,0.805638443,0.411214953,0.866471327,0.741219963,0.814980436,0.664889477,0.207692308,0.722708698,0.660308144,0.657074341
rf,word,TRUE,0.25,1,"(1, 1)",new,stem,,gini,sqrt,1,10,0.805543694,0.355140187,0.864521592,0.750225428,0.813862493,0.686623027,0.338983051,0.751077586,0.665198238,0.701438849
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,,gini,auto,1,10,0.805459438,0.3125,0.866555463,0.750922509,0.81665735,0.679719318,0.357723577,0.745689655,0.654384672,0.694244604
rf,word,TRUE,0.25,1,"(1, 1)",new,stem,balanced,gini,sqrt,1,5,0.805388517,0.413793103,0.864081807,0.744394619,0.812185579,0.672580177,0.26459144,0.721830986,0.670545455,0.665467626
rf,word,TRUE,1,1,"(1, 1)",new,stem,balanced_subsample,entropy,sqrt,1,10,0.805356092,0.450704225,0.863066955,0.742194469,0.80883175,0.671807875,0.247349823,0.722619048,0.67006555,0.660671463
rf,word,TRUE,0.5,1,"(1, 3)",new,stem,,gini,auto,1,5,0.805309986,0.288461538,0.86565911,0.754578755,0.814980436,0.670618406,0.324786325,0.743192739,0.641901932,0.68764988
rf,word,TRUE,0.5,1,"(1, 1)",new,original,,gini,auto,1,5,0.805301544,0.395833333,0.86825596,0.738771769,0.816098379,0.678326047,0.31147541,0.747463962,0.654735272,0.694244604
rf,word,TRUE,0.25,1,"(1, 3)",new,stem,balanced_subsample,entropy,auto,1,10,0.805287399,0.389830508,0.863443596,0.747731397,0.812185579,0.663574061,0.230769231,0.71884058,0.658771281,0.65647482
rf,word,TRUE,1,1,"(1, 3)",new,stem,balanced_subsample,gini,sqrt,1,10,0.805213262,0.376068376,0.86361693,0.748663102,0.811626607,0.679789168,0.252964427,0.733333333,0.675892207,0.673261391
rf,word,TRUE,1,1,"(1, 1)",new,original,,gini,auto,1,5,0.805211433,0.367346939,0.869131699,0.739981361,0.81665735,0.675336675,0.3,0.745997866,0.651266766,0.691846523
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,balanced_subsample,entropy,auto,1,5,0.805075156,0.348623853,0.865069357,0.748623853,0.813862493,0.658957536,0.220408163,0.715269805,0.653817643,0.654076739
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,,entropy,sqrt,1,2,0.805040652,0.371134021,0.86580806,0.744878957,0.816098379,0.669819777,0.347107438,0.741883981,0.639221557,0.686450839
rf,word,TRUE,0.5,1,"(1, 3)",new,stem,balanced,gini,auto,1,10,0.80502766,0.36036036,0.863364646,0.750222222,0.812185579,0.675995476,0.248120301,0.726952437,0.674469642,0.667266187
rf,word,TRUE,1,1,"(1, 3)",new,original,,gini,sqrt,1,2,0.804998932,0.318181818,0.870065789,0.742911153,0.818893236,0.66602868,0.295081967,0.741095162,0.637659415,0.683453237
rf,word,TRUE,1,1,"(1, 1)",new,stem,balanced,gini,sqrt,1,5,0.804934459,0.368,0.862879111,0.75,0.810508664,0.670499424,0.25095057,0.722025913,0.667636364,0.662470024
rf,word,TRUE,1,1,"(1, 1)",new,stem,,entropy,auto,1,10,0.804932211,0.252631579,0.86825596,0.752747253,0.81665735,0.676672068,0.327586207,0.743961353,0.652910833,0.692446043
rf,word,TRUE,0.25,1,"(1, 3)",new,stem,,gini,sqrt,1,10,0.804925314,0.288659794,0.867782427,0.749770852,0.816098379,0.672467271,0.341880342,0.743040685,0.643967432,0.688848921
rf,word,TRUE,0.25,1,"(1, 3)",new,stem,balanced_subsample,gini,auto,1,10,0.804888785,0.341880342,0.863346105,0.751798561,0.811626607,0.672235411,0.251908397,0.722482436,0.67057101,0.664268585
rf,word,TRUE,0.25,1,"(1, 1)",new,stem,,entropy,auto,1,10,0.804862551,0.323232323,0.867308497,0.746788991,0.815539407,0.67684159,0.336283186,0.746794872,0.649888971,0.693645084
rf,word,TRUE,0.25,1,"(1, 1)",new,stem,balanced_subsample,entropy,sqrt,1,5,0.804855854,0.43902439,0.862244898,0.743427017,0.811067636,0.672569638,0.24291498,0.724840023,0.670072993,0.666666667
rf,word,TRUE,0.5,1,"(1, 3)",new,stem,,gini,sqrt,1,10,0.804849804,0.285714286,0.868366068,0.748850046,0.816098379,0.680399172,0.322033898,0.746220302,0.65885798,0.695443645
rf,word,TRUE,0.25,1,"(1, 2)",new,lemma,balanced_subsample,gini,auto,1,10,0.804795133,0.418181818,0.863790186,0.742753623,0.81274455,0.666619538,0.239726027,0.720142602,0.662747979,0.654676259
rf,word,TRUE,1,1,"(1, 1)",new,lemma,,gini,auto,1,5,0.804761326,0.383838384,0.867751356,0.739371534,0.815539407,0.67409691,0.31147541,0.743070362,0.650224215,0.690047962
rf,word,TRUE,1,1,"(1, 3)",new,stem,balanced_subsample,gini,auto,1,10,0.80470522,0.35,0.861670236,0.75333927,0.810508664,0.679755431,0.268774704,0.730363423,0.676833696,0.673261391
rf,word,TRUE,1,1,"(1, 1)",new,stem,balanced_subsample,gini,sqrt,1,5,0.804698361,0.466666667,0.862745098,0.739208633,0.811067636,0.670508029,0.23715415,0.720329025,0.670528602,0.663069544
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced,gini,auto,1,5,0.804658716,0.351851852,0.86417657,0.748653501,0.81274455,0.665353443,0.210084034,0.722318841,0.661325564,0.660671463
rf,word,TRUE,0.5,1,"(1, 1)",new,original,,gini,auto,1,10,0.80465749,0.350515464,0.868804665,0.740740741,0.816098379,0.67803387,0.280991736,0.746236559,0.658302583,0.693645084
rf,word,TRUE,0.25,1,"(1, 3)",new,stem,,gini,auto,1,10,0.804646959,0.291666667,0.867278798,0.749539595,0.816098379,0.678847742,0.310344828,0.746910263,0.656364974,0.694844125
rf,word,TRUE,1,1,"(1, 2)",new,original,balanced_subsample,entropy,auto,1,10,0.804605134,0.423076923,0.86658302,0.736842105,0.814421465,0.662176208,0.216393443,0.711137582,0.664201183,0.646882494
rf,word,TRUE,1,1,"(1, 2)",new,stem,,gini,auto,1,2,0.804601681,0.333333333,0.865360567,0.748375116,0.814980436,0.673090937,0.305084746,0.743562232,0.64844904,0.689448441
rf,word,TRUE,0.25,1,"(1, 3)",new,original,balanced,gini,auto,1,10,0.804593209,0.419047619,0.866694526,0.737037037,0.814421465,0.666688339,0.215277778,0.719194313,0.666176471,0.654076739
rf,word,TRUE,0.25,1,"(1, 1)",new,stem,,gini,sqrt,1,5,0.804542796,0.342857143,0.865069357,0.747714808,0.813862493,0.682846972,0.357723577,0.748784441,0.657856094,0.697242206
rf,word,TRUE,0.25,1,"(1, 2)",new,lemma,,gini,auto,1,10,0.804540459,0.285714286,0.868661679,0.747456059,0.817216322,0.681484306,0.314049587,0.748519117,0.659793814,0.696642686
rf,word,TRUE,1,1,"(1, 2)",new,lemma,balanced,entropy,sqrt,1,10,0.804431041,0.418181818,0.863885377,0.741552511,0.81274455,0.660664802,0.201388889,0.714537964,0.659747961,0.648081535
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,balanced,gini,sqrt,1,5,0.804405511,0.324786325,0.863849765,0.751341682,0.811067636,0.668488706,0.233870968,0.721673446,0.665691295,0.662470024
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced,entropy,auto,1,10,0.804394526,0.322033898,0.863346105,0.752475248,0.811067636,0.668391122,0.235741445,0.722933644,0.664206642,0.660671463
rf,word,TRUE,0.5,1,"(1, 1)",new,stem,,gini,sqrt,1,10,0.804373987,0.339622642,0.864978903,0.747731397,0.813303522,0.681744167,0.333333333,0.747442111,0.659308315,0.696642686
rf,word,TRUE,0.25,1,"(1, 2)",new,original,balanced,gini,auto,1,5,0.804372649,0.356435644,0.86691698,0.742592593,0.814980436,0.667863133,0.218309859,0.720379147,0.667155425,0.6558753
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,,gini,auto,1,5,0.804278844,0.3125,0.866082603,0.748387097,0.815539407,0.679168455,0.347107438,0.746767241,0.653421634,0.694244604
rf,word,TRUE,1,1,"(1, 2)",new,stem,,entropy,auto,1,10,0.804236115,0.306122449,0.86599665,0.749084249,0.814980436,0.683390451,0.333333333,0.749462366,0.660792952,0.699040767
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced,entropy,sqrt,1,10,0.804213304,0.386554622,0.862510675,0.746642793,0.810508664,0.674546192,0.246153846,0.728330425,0.670596905,0.667266187
rf,word,TRUE,1,1,"(1, 3)",new,stem,,gini,auto,1,5,0.804212408,0.309278351,0.866305706,0.748148148,0.815539407,0.676341825,0.336134454,0.746781116,0.648928307,0.692446043
rf,word,TRUE,0.5,1,"(1, 3)",new,stem,,gini,sqrt,1,5,0.804206587,0.303030303,0.867610325,0.746518106,0.815539407,0.66323748,0.285714286,0.73959445,0.634400596,0.681055156
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,balanced,entropy,auto,1,5,0.804201518,0.389380531,0.865482234,0.741144414,0.812185579,0.658394305,0.232,0.716091954,0.650817236,0.653477218
rf,word,TRUE,1,1,"(1, 1)",new,stem,balanced_subsample,entropy,sqrt,1,5,0.804194687,0.435483871,0.863462356,0.739800544,0.810508664,0.668146667,0.224,0.723157284,0.664710198,0.661870504
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced_subsample,entropy,auto,1,10,0.804174306,0.419354839,0.862024776,0.74393531,0.809949693,0.668360683,0.25,0.721769499,0.663729809,0.661870504
rf,word,TRUE,0.25,1,"(1, 1)",new,stem,,entropy,auto,1,2,0.804167691,0.376237624,0.866888519,0.739981361,0.814980436,0.677816212,0.369747899,0.745871071,0.649253731,0.693645084
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,,entropy,sqrt,1,10,0.804152299,0.288659794,0.86691698,0.749077491,0.815539407,0.67751798,0.347826087,0.745853398,0.650887574,0.693645084
rf,word,TRUE,0.25,1,"(1, 1)",new,stem,,entropy,sqrt,1,10,0.804047376,0.244897959,0.866498741,0.754098361,0.814980436,0.682098849,0.353982301,0.74812433,0.657332351,0.697841727
rf,word,TRUE,1,1,"(1, 2)",new,stem,balanced_subsample,entropy,auto,1,5,0.804013016,0.382608696,0.863713799,0.744394619,0.811067636,0.66430614,0.222222222,0.723721999,0.656804734,0.660071942
rf,word,TRUE,0.25,1,"(1, 2)",new,original,balanced,gini,auto,1,10,0.803996107,0.358490566,0.864819479,0.744954128,0.813303522,0.667772206,0.225913621,0.715398442,0.67057101,0.652877698
rf,word,TRUE,0.25,1,"(1, 3)",new,stem,,gini,sqrt,1,5,0.803954086,0.306122449,0.866332498,0.747697974,0.814980436,0.674606865,0.288135593,0.746108427,0.650922509,0.691247002
rf,word,TRUE,0.5,1,"(1, 1)",new,original,balanced,gini,sqrt,1,10,0.803937612,0.429752066,0.865254237,0.736554239,0.811067636,0.670989545,0.227272727,0.721986675,0.671023965,0.655275779
rf,word,TRUE,0.5,1,"(1, 2)",new,stem,balanced_subsample,entropy,sqrt,1,10,0.80392816,0.338983051,0.863113006,0.749775785,0.810508664,0.666001533,0.237918216,0.71728972,0.664206642,0.657074341
rf,word,TRUE,0.25,1,"(1, 3)",new,stem,balanced_subsample,gini,sqrt,1,10,0.80383854,0.338983051,0.861146497,0.752941176,0.810508664,0.675259236,0.23715415,0.72546729,0.675419402,0.667865707
rf,word,TRUE,1,1,"(1, 2)",new,lemma,balanced,gini,sqrt,1,10,0.803831612,0.392523364,0.864842105,0.740875912,0.81274455,0.664749769,0.228571429,0.717225162,0.662730627,0.654076739
rf,word,TRUE,0.5,1,"(1, 3)",new,stem,,entropy,auto,1,10,0.803827766,0.303030303,0.867640919,0.745387454,0.814980436,0.67411195,0.333333333,0.744556559,0.646751307,0.691247002
rf,word,TRUE,1,1,"(1, 2)",new,original,balanced,gini,auto,1,10,0.803825826,0.380952381,0.865295846,0.741284404,0.813303522,0.664929635,0.212624585,0.71497006,0.666666667,0.649880096
rf,word,TRUE,1,1,"(1, 3)",new,original,,gini,sqrt,1,5,0.803791316,0.425531915,0.867737948,0.732261116,0.816098379,0.671468896,0.333333333,0.743221691,0.642696629,0.6882494
rf,word,TRUE,1,1,"(1, 3)",new,stem,,entropy,auto,1,5,0.803743986,0.294736842,0.866416979,0.748148148,0.815539407,0.671135682,0.313043478,0.744680851,0.642803878,0.688848921
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,,gini,sqrt,1,10,0.803709721,0.301886792,0.864864865,0.75,0.81274455,0.67955252,0.336134454,0.747703944,0.654465593,0.694844125
rf,word,TRUE,0.25,1,"(1, 2)",new,stem,,entropy,sqrt,1,2,0.803709338,0.388349515,0.865248227,0.74025974,0.813862493,0.669603622,0.302521008,0.744136461,0.641312453,0.68705036
rf,word,TRUE,0.25,1,"(1, 2)",new,original,balanced_subsample,gini,auto,1,10,0.803700085,0.352941176,0.86599665,0.742647059,0.813862493,0.6676661,0.219178082,0.71761194,0.669101534,0.654076739
