model,analyzer,lowercase,max_df,min_df,ngram_range,type,strategy,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
dummy,word,True,0.25,1,"(1, 1)",original,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,1,"(1, 1)",lemma,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,1,"(1, 1)",stem,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,1,"(1, 2)",original,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,1,"(1, 2)",lemma,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,1,"(1, 2)",stem,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,1,"(1, 3)",original,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,1,"(1, 3)",lemma,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,1,"(1, 3)",stem,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 1)",original,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 1)",lemma,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 1)",stem,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 2)",original,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 2)",lemma,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 2)",stem,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 3)",original,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 3)",lemma,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
dummy,word,True,0.25,10,"(1, 3)",stem,prior,0.5311840163623146,0.0,0.7987891019172554,0.0,0.664986559139785,0.43663620566033134,0.0,0.7413355874894336,0.0,0.5889858965748824
