model,analyzer,lowercase,max_df,min_df,ngram_range,type,class_weight,criterion,max_features,min_samples_leaf,min_samples_split,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
rf,word,True,0.25,1,"(1, 2)",stem,balanced_subsample,gini,sqrt,2,5,0.8117284493230298,0.49079754601226994,0.8720355731225297,0.7406360424028269,0.8094758064516129,0.7476026183395263,0.46286701208981,0.8319395737793364,0.6610778443113772,0.748153122901276
rf,word,True,0.25,1,"(1, 2)",stem,balanced_subsample,entropy,auto,2,10,0.8085030695576233,0.49500998003992014,0.8697165589259074,0.7333799860041987,0.8054435483870968,0.7483262509482134,0.4861111111111111,0.8320385748727567,0.6581663630843958,0.7505036937541975
rf,word,True,0.25,1,"(1, 2)",stem,balanced,entropy,auto,2,2,0.8083257154429017,0.48870636550308005,0.8698019801980198,0.7340350877192983,0.8061155913978495,0.7539740572653612,0.5136612021857924,0.8324818499596667,0.6682464454976303,0.7565480188045668
rf,word,True,0.25,1,"(1, 1)",stem,balanced,gini,sqrt,2,2,0.8081145042731606,0.49416342412451364,0.8649060436769934,0.744,0.8024193548387096,0.7485012087717693,0.45723684210526316,0.8288931612194452,0.6701816051552432,0.7454667562122229
rf,word,True,0.5,1,"(1, 2)",stem,balanced,gini,auto,2,2,0.8076729470023394,0.48932038834951463,0.8701072051857393,0.7307152875175317,0.803763440860215,0.7518077670686735,0.49305555555555564,0.8358932902182701,0.6602756141402037,0.7535258562793822
rf,word,True,0.5,1,"(1, 1)",stem,balanced,entropy,auto,2,2,0.8075947487957831,0.46601941747572817,0.8676767676767677,0.7420446851726472,0.801747311827957,0.7497880795545172,0.5124555160142349,0.8307107976125881,0.6592505854800936,0.7515110812625924
rf,word,True,0.5,1,"(1, 3)",stem,balanced_subsample,gini,auto,2,5,0.8073185166437036,0.5099601593625499,0.8686367022597468,0.7280393534785664,0.8047715053763441,0.7516990414782709,0.4862888482632541,0.831008583690987,0.6698393813206425,0.7538616521155138
rf,word,True,0.25,1,"(1, 3)",original,balanced_subsample,gini,sqrt,1,10,0.807053062775175,0.5813333333333334,0.8759469696969697,0.6917960088691796,0.8155241935483871,0.7018137041372771,0.2896341463414634,0.7772277227722773,0.6574519230769231,0.6900604432505036
rf,word,True,1.0,1,"(1, 3)",original,balanced_subsample,gini,auto,1,10,0.8065738273731494,0.5714285714285715,0.8745553711169077,0.6958424507658645,0.8148521505376344,0.7089746626707056,0.34593023255813954,0.7802289863166714,0.6615293420272673,0.6964405641370047
rf,word,True,0.25,1,"(1, 2)",original,balanced_subsample,gini,sqrt,1,10,0.8065035537627839,0.5546218487394958,0.8791569086651053,0.6883018867924529,0.8172043010752689,0.7023044065367775,0.347953216374269,0.7775628626692457,0.6460980036297641,0.6917394224311618
rf,word,True,0.25,1,"(1, 2)",stem,balanced_subsample,gini,sqrt,2,2,0.8064713593079843,0.4778420038535645,0.8668498626030477,0.737062937062937,0.801747311827957,0.7619069477204777,0.5220729366602687,0.8403406067056945,0.6762075134168157,0.7662860980523841
rf,word,True,1.0,1,"(1, 3)",stem,balanced_subsample,gini,sqrt,1,10,0.8064256912848978,0.5826330532212886,0.8725701943844493,0.6974789915966386,0.8131720430107527,0.71237259563265,0.350584307178631,0.787037037037037,0.658753709198813,0.7068502350570853
rf,word,True,0.25,1,"(1, 3)",stem,balanced_subsample,entropy,sqrt,2,2,0.8063113936150995,0.5125,0.8690918089581786,0.7225716282320056,0.8051075268817204,0.7385356877246707,0.444043321299639,0.8265662812584028,0.6476530005941772,0.7404298186702485
rf,word,True,0.25,1,"(1, 2)",lemma,balanced_subsample,gini,sqrt,1,10,0.806207935033803,0.5240641711229946,0.8767253688719657,0.7005813953488372,0.8138440860215054,0.7020910999332551,0.34782608695652173,0.7728401876897599,0.6536822884966526,0.6907320349227669
rf,word,True,1.0,1,"(1, 3)",stem,balanced_subsample,entropy,sqrt,2,10,0.8061765928266933,0.4761904761904761,0.8688118811881187,0.731534090909091,0.8030913978494624,0.7542905558515732,0.48616600790513836,0.8379383634431455,0.6654804270462634,0.7592343854936199
rf,word,True,0.5,1,"(1, 3)",stem,balanced,gini,sqrt,2,5,0.8056039514487816,0.4774951076320939,0.8660826032540675,0.73582295988935,0.8010752688172043,0.7539101945952891,0.4927536231884058,0.8331079253448742,0.671353251318102,0.7552048354600402
rf,word,True,0.25,1,"(1, 2)",stem,balanced,gini,auto,2,10,0.8055911309870631,0.48605577689243035,0.8668668668668669,0.7317744154057771,0.801747311827957,0.758219398886113,0.47163120567375894,0.8382712693666758,0.6795096322241682,0.7578912021490933
rf,word,True,0.25,1,"(1, 2)",lemma,balanced_subsample,gini,auto,1,10,0.8054512626234434,0.5488126649076518,0.8761186999528968,0.6932931424265261,0.8145161290322581,0.704062593845825,0.3148425787106447,0.7745152354570637,0.6634901727218583,0.6917394224311618
rf,word,True,1.0,1,"(1, 2)",stem,balanced_subsample,gini,auto,2,5,0.8053297899686047,0.4657534246575343,0.8633383761976803,0.7444067796610169,0.7997311827956989,0.7532447152359618,0.5095785440613027,0.836052420433271,0.6607669616519175,0.7575554063129617
rf,word,True,0.25,1,"(1, 3)",original,balanced_subsample,entropy,auto,2,10,0.8052698727330538,0.4923747276688453,0.8690127077223851,0.7237687366167023,0.8057795698924731,0.7444612352723654,0.5193798449612403,0.8299605781865966,0.6434250764525994,0.751846877098724
rf,word,True,0.5,1,"(1, 3)",stem,balanced_subsample,entropy,sqrt,2,5,0.8049586073018977,0.5009708737864078,0.8659691081215745,0.7280393534785664,0.8014112903225806,0.751763771184687,0.49355432780847147,0.8355175180529553,0.6606929510155317,0.7552048354600402
rf,word,True,0.25,1,"(1, 2)",lemma,balanced_subsample,gini,auto,2,5,0.8049576575512373,0.48559670781893005,0.8663021868787277,0.7309292649098473,0.8024193548387096,0.7473290444157322,0.48936170212765956,0.8292291220556747,0.6594202898550725,0.7498321020819342
rf,word,True,0.5,1,"(1, 2)",stem,balanced_subsample,gini,auto,2,5,0.8048459019969199,0.47490347490347484,0.8649874055415617,0.7363387978142076,0.7993951612903226,0.766043563429817,0.5305343511450382,0.8422186322024771,0.6833527357392317,0.7689724647414372
rf,word,True,0.5,1,"(1, 2)",stem,balanced_subsample,gini,auto,2,2,0.8046483743880112,0.4740740740740741,0.8665667166416791,0.7319148936170212,0.7990591397849462,0.7531367698794527,0.45918367346938777,0.8328796951551443,0.6765053128689492,0.7515110812625924
rf,word,True,0.5,1,"(1, 3)",original,balanced,gini,auto,1,10,0.8045548076607315,0.554016620498615,0.874614837639251,0.6924198250728864,0.8131720430107527,0.7497854640296725,0.48416289592760187,0.8316831683168318,0.6634844868735084,0.7585627938213566
rf,word,True,0.5,1,"(1, 3)",stem,balanced,entropy,auto,2,10,0.8045147623184443,0.4872298624754421,0.8646897582855719,0.7328671328671328,0.800739247311828,0.7453431714590313,0.4697247706422018,0.8301988178398709,0.6560094730609828,0.7478173270651444
rf,word,True,0.25,1,"(1, 3)",lemma,balanced,entropy,auto,2,10,0.8044252370792255,0.49673202614379086,0.8690944881889765,0.7193841847445765,0.8044354838709677,0.750857175253319,0.5190562613430127,0.8306451612903226,0.6611275964391692,0.7538616521155138
rf,word,True,0.25,1,"(1, 2)",stem,balanced_subsample,entropy,sqrt,2,5,0.8041754458608331,0.48543689320388345,0.8672478206724782,0.7257383966244726,0.8004032258064516,0.7573506326807704,0.5,0.8375796178343949,0.672209026128266,0.7622565480188046
rf,word,True,0.25,1,"(1, 3)",stem,balanced_subsample,entropy,sqrt,2,5,0.8041556007940496,0.49488752556237214,0.8678117998506348,0.7219917012448133,0.801747311827957,0.7489758341899033,0.476547842401501,0.8339994670929921,0.6586826347305389,0.7528542646071189
rf,word,True,0.5,1,"(1, 2)",lemma,balanced_subsample,gini,auto,1,10,0.8041409235484172,0.5253731343283582,0.8734326945824463,0.7007194244604316,0.813508064516129,0.710595932149929,0.35968992248062015,0.7834429824561403,0.6578472639807577,0.7024848891873741
rf,word,True,0.25,1,"(1, 2)",stem,balanced,gini,auto,2,5,0.8041403765436481,0.5019455252918288,0.8648513614788907,0.7275261324041812,0.8004032258064516,0.7548342058514191,0.5027322404371585,0.8305773922472215,0.6763678696158324,0.7558764271323035
rf,word,True,0.5,1,"(1, 2)",original,balanced_subsample,entropy,sqrt,1,10,0.8041108429993419,0.5650969529085873,0.8739016860603182,0.6898550724637681,0.8125,0.6991682203653293,0.3177842565597668,0.7759713419674841,0.6459475929311395,0.6873740765614507
rf,word,True,1.0,1,"(1, 3)",stem,balanced_subsample,gini,sqrt,2,5,0.8038468485858674,0.48559670781893005,0.8662704309063893,0.7268907563025211,0.801747311827957,0.7516036416981172,0.5026929982046678,0.832304802790448,0.6638755980861244,0.7541974479516454
rf,word,True,0.5,1,"(1, 2)",original,balanced_subsample,gini,auto,2,5,0.8038118939265104,0.49387755102040815,0.8666997026759167,0.7237026647966339,0.801747311827957,0.7589928227235513,0.5290806754221388,0.835973154362416,0.673733804475854,0.7622565480188046
rf,word,True,0.25,1,"(1, 3)",original,balanced,gini,auto,2,2,0.8037739460971981,0.4978354978354979,0.86785105865174,0.719768283852281,0.8047715053763441,0.7553192017206984,0.5204460966542751,0.8325743369943746,0.6706231454005934,0.7585627938213566
rf,word,True,0.5,1,"(1, 3)",stem,balanced_subsample,gini,sqrt,2,5,0.803599587396907,0.47953216374269014,0.8630997236875156,0.7352537722908093,0.7987231182795699,0.754384805894773,0.4904214559386973,0.8339582217461168,0.6717647058823529,0.7575554063129617
rf,word,True,0.25,1,"(1, 2)",lemma,balanced,entropy,auto,1,10,0.8034986790669755,0.544973544973545,0.8759469696969697,0.6874074074074075,0.8121639784946236,0.6940744387799366,0.34310850439882695,0.7731506849315068,0.6305418719211823,0.6850235057085292
rf,word,True,0.25,1,"(1, 3)",stem,balanced,entropy,sqrt,2,2,0.8034532079226445,0.4642857142857143,0.8644743398106627,0.7350069735006973,0.7993951612903226,0.7538648953053326,0.5093632958801498,0.8353349346143581,0.6638805970149254,0.7578912021490933
rf,word,True,0.25,1,"(1, 3)",stem,balanced_subsample,entropy,auto,2,5,0.8034483620765052,0.5010526315789474,0.8655232413621676,0.7235213204951857,0.801747311827957,0.7545083635796196,0.48994515539305294,0.8348428343100692,0.6706948640483384,0.7575554063129617
