model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,alpha,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
nb,word,True,0.25,1,"(1, 2)",new,lemma,0.1,0.6355257085488923,0.5170068027210885,0.5300751879699249,0.7346514047866806,0.6487804878048781,0.6272554386822768,0.36231884057971014,0.5034013605442176,0.7476828012358394,0.6438709677419355
nb,word,True,0.5,1,"(1, 2)",new,lemma,0.1,0.6355257085488923,0.5170068027210885,0.5300751879699249,0.7346514047866806,0.6487804878048781,0.6272554386822768,0.36231884057971014,0.5034013605442176,0.7476828012358394,0.6438709677419355
nb,word,True,1.0,1,"(1, 2)",new,lemma,0.1,0.6355257085488923,0.5170068027210885,0.5300751879699249,0.7346514047866806,0.6487804878048781,0.6272554386822768,0.36231884057971014,0.5034013605442176,0.7476828012358394,0.6438709677419355
nb,word,True,0.25,10,"(1, 2)",new,stem,0.5,0.6350313621253925,0.472972972972973,0.541044776119403,0.7364016736401674,0.6487804878048781,0.6415639457742079,0.3529411764705882,0.5319148936170213,0.7605932203389831,0.655483870967742
nb,word,True,0.25,10,"(1, 3)",new,stem,0.5,0.6350313621253925,0.472972972972973,0.541044776119403,0.7364016736401674,0.6487804878048781,0.6415639457742079,0.3529411764705882,0.5319148936170213,0.7605932203389831,0.655483870967742
nb,word,True,0.5,10,"(1, 2)",new,stem,0.5,0.6350313621253925,0.472972972972973,0.541044776119403,0.7364016736401674,0.6487804878048781,0.6415639457742079,0.3529411764705882,0.5319148936170213,0.7605932203389831,0.655483870967742
nb,word,True,0.5,10,"(1, 3)",new,stem,0.5,0.6350313621253925,0.472972972972973,0.541044776119403,0.7364016736401674,0.6487804878048781,0.6415639457742079,0.3529411764705882,0.5319148936170213,0.7605932203389831,0.655483870967742
nb,word,True,1.0,10,"(1, 2)",new,stem,0.5,0.6350313621253925,0.472972972972973,0.541044776119403,0.7364016736401674,0.6487804878048781,0.6415639457742079,0.3529411764705882,0.5319148936170213,0.7605932203389831,0.655483870967742
nb,word,True,1.0,10,"(1, 3)",new,stem,0.5,0.6350313621253925,0.472972972972973,0.541044776119403,0.7364016736401674,0.6487804878048781,0.6415639457742079,0.3529411764705882,0.5319148936170213,0.7605932203389831,0.655483870967742
nb,word,True,0.25,10,"(1, 2)",new,stem,0.0,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.25,10,"(1, 2)",new,stem,0.001,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.25,10,"(1, 2)",new,stem,0.01,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.25,10,"(1, 3)",new,stem,0.0,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.25,10,"(1, 3)",new,stem,0.001,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.25,10,"(1, 3)",new,stem,0.01,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.5,10,"(1, 2)",new,stem,0.0,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.5,10,"(1, 2)",new,stem,0.001,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.5,10,"(1, 2)",new,stem,0.01,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.5,10,"(1, 3)",new,stem,0.0,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.5,10,"(1, 3)",new,stem,0.001,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,0.5,10,"(1, 3)",new,stem,0.01,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
nb,word,True,1.0,10,"(1, 2)",new,stem,0.0,0.6341563563160935,0.46357615894039733,0.5380333951762524,0.7389473684210528,0.6475609756097561,0.6455142841248817,0.37410071942446044,0.5341880341880342,0.7613997879109226,0.6580645161290323
