model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,0.25,1,"(1, 1)",new,stem,1.5,balanced,scale,rbf,0.7136046684082511,0.5813953488372093,0.6739811912225705,0.7710843373493977,0.7134146341463414,0.6931459587821507,0.4779874213836478,0.6292947558770343,0.7732696897374701,0.6916129032258065
svm,word,True,0.5,1,"(1, 1)",new,stem,1.5,balanced,scale,rbf,0.7136046684082511,0.5813953488372093,0.6739811912225705,0.7710843373493977,0.7134146341463414,0.6931459587821507,0.4779874213836478,0.6292947558770343,0.7732696897374701,0.6916129032258065
svm,word,True,1.0,1,"(1, 1)",new,stem,1.5,balanced,scale,rbf,0.7136046684082511,0.5813953488372093,0.6739811912225705,0.7710843373493977,0.7134146341463414,0.6931459587821507,0.4779874213836478,0.6292947558770343,0.7732696897374701,0.6916129032258065
svm,word,True,0.25,1,"(1, 3)",new,original,1.0,balanced,scale,sigmoid,0.7078136979620832,0.5740740740740742,0.6688206785137318,0.7652173913043478,0.7036585365853658,0.6782096248241467,0.5727699530516431,0.5955056179775281,0.742216687422167,0.6683870967741935
svm,word,True,0.5,1,"(1, 3)",new,original,1.0,balanced,scale,sigmoid,0.7078136979620832,0.5740740740740742,0.6688206785137318,0.7652173913043478,0.7036585365853658,0.6782096248241467,0.5727699530516431,0.5955056179775281,0.742216687422167,0.6683870967741935
svm,word,True,1.0,1,"(1, 3)",new,original,1.0,balanced,scale,sigmoid,0.7078136979620832,0.5740740740740742,0.6688206785137318,0.7652173913043478,0.7036585365853658,0.6782096248241467,0.5727699530516431,0.5955056179775281,0.742216687422167,0.6683870967741935
svm,word,True,0.25,1,"(1, 2)",new,original,1.5,balanced,scale,sigmoid,0.7052616448443579,0.5876777251184834,0.6484641638225256,0.7710557532621589,0.7036585365853658,0.6881214654527139,0.5833333333333333,0.6127167630057804,0.7484662576687118,0.68
svm,word,True,0.5,1,"(1, 2)",new,original,1.5,balanced,scale,sigmoid,0.7052616448443579,0.5876777251184834,0.6484641638225256,0.7710557532621589,0.7036585365853658,0.6881214654527139,0.5833333333333333,0.6127167630057804,0.7484662576687118,0.68
svm,word,True,1.0,1,"(1, 2)",new,original,1.5,balanced,scale,sigmoid,0.7052616448443579,0.5876777251184834,0.6484641638225256,0.7710557532621589,0.7036585365853658,0.6881214654527139,0.5833333333333333,0.6127167630057804,0.7484662576687118,0.68
svm,word,True,0.25,1,"(1, 3)",new,stem,1.5,balanced,scale,sigmoid,0.7037474645880479,0.5800000000000001,0.6529209621993127,0.7668997668997669,0.7036585365853658,0.6955267889486972,0.5633802816901408,0.6213592233009708,0.7615571776155717,0.687741935483871
