model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,0.25,1,"(1, 1)",generic,stem,1.5,balanced,scale,rbf,0.7124622780464042,0.574712643678161,0.6708661417322834,0.7725631768953068,0.7121951219512195,0.698420661860285,0.46835443037974683,0.6375227686703097,0.7805456702253856,0.6980645161290323
svm,word,True,0.5,1,"(1, 1)",generic,stem,1.5,balanced,scale,rbf,0.7124622780464042,0.574712643678161,0.6708661417322834,0.7725631768953068,0.7121951219512195,0.698420661860285,0.46835443037974683,0.6375227686703097,0.7805456702253856,0.6980645161290323
svm,word,True,1.0,1,"(1, 1)",generic,stem,1.5,balanced,scale,rbf,0.7124622780464042,0.574712643678161,0.6708661417322834,0.7725631768953068,0.7121951219512195,0.698420661860285,0.46835443037974683,0.6375227686703097,0.7805456702253856,0.6980645161290323
svm,word,True,0.25,1,"(1, 1)",unique,stem,1.5,balanced,scale,rbf,0.7100815755901855,0.574712643678161,0.6677165354330709,0.7701564380264743,0.7097560975609756,0.6985658362903364,0.46835443037974683,0.635036496350365,0.7819905213270143,0.6980645161290323
svm,word,True,0.5,1,"(1, 1)",unique,stem,1.5,balanced,scale,rbf,0.7100815755901855,0.574712643678161,0.6677165354330709,0.7701564380264743,0.7097560975609756,0.6985658362903364,0.46835443037974683,0.635036496350365,0.7819905213270143,0.6980645161290323
svm,word,True,1.0,1,"(1, 1)",unique,stem,1.5,balanced,scale,rbf,0.7100815755901855,0.574712643678161,0.6677165354330709,0.7701564380264743,0.7097560975609756,0.6985658362903364,0.46835443037974683,0.635036496350365,0.7819905213270143,0.6980645161290323
svm,word,True,0.25,1,"(1, 3)",generic,stem,1.5,balanced,scale,sigmoid,0.7094883885877304,0.5970149253731343,0.6527777777777778,0.7740440324449593,0.7097560975609756,0.7014834457564557,0.5619047619047619,0.6276803118908382,0.7690447400241839,0.6941935483870968
svm,word,True,0.5,1,"(1, 3)",generic,stem,1.5,balanced,scale,sigmoid,0.7094883885877304,0.5970149253731343,0.6527777777777778,0.7740440324449593,0.7097560975609756,0.7014834457564557,0.5619047619047619,0.6276803118908382,0.7690447400241839,0.6941935483870968
svm,word,True,1.0,1,"(1, 3)",generic,stem,1.5,balanced,scale,sigmoid,0.7094883885877304,0.5970149253731343,0.6527777777777778,0.7740440324449593,0.7097560975609756,0.7014834457564557,0.5619047619047619,0.6276803118908382,0.7690447400241839,0.6941935483870968
svm,word,True,0.25,1,"(1, 2)",generic,stem,1.5,balanced,scale,sigmoid,0.7085387542069483,0.588785046728972,0.65625,0.7717647058823529,0.7073170731707317,0.7027244115224072,0.5648148148148149,0.625242718446602,0.7716727716727716,0.6941935483870968
