model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,penalty,solver,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
logreg,word,True,0.25,1,"(1, 2)",emoji_generic,stem,0.5,balanced,l2,lbfgs,0.7243350737433382,0.5906735751295337,0.6859756097560976,0.7812895069532236,0.7207317073170731,0.6736553375800615,0.4888888888888889,0.599290780141844,0.7518610421836229,0.6658064516129032
logreg,word,True,0.25,1,"(1, 2)",emoji_generic,stem,0.5,balanced,l2,newton-cg,0.7243350737433382,0.5906735751295337,0.6859756097560976,0.7812895069532236,0.7207317073170731,0.6736553375800615,0.4888888888888889,0.599290780141844,0.7518610421836229,0.6658064516129032
logreg,word,True,0.5,1,"(1, 2)",emoji_generic,stem,0.5,balanced,l2,lbfgs,0.7243350737433382,0.5906735751295337,0.6859756097560976,0.7812895069532236,0.7207317073170731,0.6736553375800615,0.4888888888888889,0.599290780141844,0.7518610421836229,0.6658064516129032
logreg,word,True,0.5,1,"(1, 2)",emoji_generic,stem,0.5,balanced,l2,newton-cg,0.7243350737433382,0.5906735751295337,0.6859756097560976,0.7812895069532236,0.7207317073170731,0.6736553375800615,0.4888888888888889,0.599290780141844,0.7518610421836229,0.6658064516129032
logreg,word,True,1.0,1,"(1, 2)",emoji_generic,stem,0.5,balanced,l2,lbfgs,0.7243350737433382,0.5906735751295337,0.6859756097560976,0.7812895069532236,0.7207317073170731,0.6736553375800615,0.4888888888888889,0.599290780141844,0.7518610421836229,0.6658064516129032
logreg,word,True,1.0,1,"(1, 2)",emoji_generic,stem,0.5,balanced,l2,newton-cg,0.7243350737433382,0.5906735751295337,0.6859756097560976,0.7812895069532236,0.7207317073170731,0.6736553375800615,0.4888888888888889,0.599290780141844,0.7518610421836229,0.6658064516129032
logreg,word,True,0.25,1,"(1, 2)",emoji_generic,stem,1.0,balanced,l2,lbfgs,0.7228749061730272,0.6010362694300518,0.6780185758513931,0.7815230961298376,0.7195121951219512,0.6837191417670085,0.49450549450549447,0.6093189964157706,0.762962962962963,0.6761290322580645
logreg,word,True,0.25,1,"(1, 2)",emoji_generic,stem,1.0,balanced,l2,newton-cg,0.7228749061730272,0.6010362694300518,0.6780185758513931,0.7815230961298376,0.7195121951219512,0.6837191417670085,0.49450549450549447,0.6093189964157706,0.762962962962963,0.6761290322580645
logreg,word,True,0.5,1,"(1, 2)",emoji_generic,stem,1.0,balanced,l2,lbfgs,0.7228749061730272,0.6010362694300518,0.6780185758513931,0.7815230961298376,0.7195121951219512,0.6837191417670085,0.49450549450549447,0.6093189964157706,0.762962962962963,0.6761290322580645
logreg,word,True,0.5,1,"(1, 2)",emoji_generic,stem,1.0,balanced,l2,newton-cg,0.7228749061730272,0.6010362694300518,0.6780185758513931,0.7815230961298376,0.7195121951219512,0.6837191417670085,0.49450549450549447,0.6093189964157706,0.762962962962963,0.6761290322580645
logreg,word,True,1.0,1,"(1, 2)",emoji_generic,stem,1.0,balanced,l2,lbfgs,0.7228749061730272,0.6010362694300518,0.6780185758513931,0.7815230961298376,0.7195121951219512,0.6837191417670085,0.49450549450549447,0.6093189964157706,0.762962962962963,0.6761290322580645
logreg,word,True,1.0,1,"(1, 2)",emoji_generic,stem,1.0,balanced,l2,newton-cg,0.7228749061730272,0.6010362694300518,0.6780185758513931,0.7815230961298376,0.7195121951219512,0.6837191417670085,0.49450549450549447,0.6093189964157706,0.762962962962963,0.6761290322580645
logreg,word,True,0.25,1,"(1, 2)",emoji_generic,stem,1.5,balanced,l2,lbfgs,0.7226059537350776,0.6073298429319373,0.6749611197511663,0.781637717121588,0.7195121951219512,0.6815039696181256,0.5082872928176796,0.6007194244604317,0.7601476014760147,0.6735483870967742
logreg,word,True,0.25,1,"(1, 2)",emoji_generic,stem,1.5,balanced,l2,newton-cg,0.7226059537350776,0.6073298429319373,0.6749611197511663,0.781637717121588,0.7195121951219512,0.6815039696181256,0.5082872928176796,0.6007194244604317,0.7601476014760147,0.6735483870967742
logreg,word,True,0.5,1,"(1, 2)",emoji_generic,stem,1.5,balanced,l2,lbfgs,0.7226059537350776,0.6073298429319373,0.6749611197511663,0.781637717121588,0.7195121951219512,0.6815039696181256,0.5082872928176796,0.6007194244604317,0.7601476014760147,0.6735483870967742
logreg,word,True,0.5,1,"(1, 2)",emoji_generic,stem,1.5,balanced,l2,newton-cg,0.7226059537350776,0.6073298429319373,0.6749611197511663,0.781637717121588,0.7195121951219512,0.6815039696181256,0.5082872928176796,0.6007194244604317,0.7601476014760147,0.6735483870967742
logreg,word,True,1.0,1,"(1, 2)",emoji_generic,stem,1.5,balanced,l2,lbfgs,0.7226059537350776,0.6073298429319373,0.6749611197511663,0.781637717121588,0.7195121951219512,0.6815039696181256,0.5082872928176796,0.6007194244604317,0.7601476014760147,0.6735483870967742
logreg,word,True,1.0,1,"(1, 2)",emoji_generic,stem,1.5,balanced,l2,newton-cg,0.7226059537350776,0.6073298429319373,0.6749611197511663,0.781637717121588,0.7195121951219512,0.6815039696181256,0.5082872928176796,0.6007194244604317,0.7601476014760147,0.6735483870967742
logreg,word,True,0.25,1,"(1, 2)",emoji_generic,stem,1.5,,l2,lbfgs,0.7212390821837343,0.5748502994011976,0.6761453396524487,0.7857142857142857,0.7219512195121951,0.6886289312564523,0.4516129032258065,0.6078799249530956,0.7819025522041763,0.6890322580645162
