model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,alpha,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
nb,word,True,0.25,10,"(1, 1)",emoji_generic,stem,0.5,0.6319477535602596,0.4861878453038674,0.5404411764705883,0.7278688524590166,0.6390243902439025,0.6480718693238283,0.4662576687116564,0.534446764091858,0.7444933920704847,0.6503225806451612
nb,word,True,0.5,10,"(1, 1)",emoji_generic,stem,0.5,0.6319477535602596,0.4861878453038674,0.5404411764705883,0.7278688524590166,0.6390243902439025,0.6480718693238283,0.4662576687116564,0.534446764091858,0.7444933920704847,0.6503225806451612
nb,word,True,1.0,10,"(1, 1)",emoji_generic,stem,0.5,0.6319477535602596,0.4861878453038674,0.5404411764705883,0.7278688524590166,0.6390243902439025,0.6480718693238283,0.4662576687116564,0.534446764091858,0.7444933920704847,0.6503225806451612
nb,word,True,0.25,10,"(1, 1)",emoji_generic,stem,0.0,0.6287628045645954,0.4606741573033708,0.5404411764705883,0.7276688453159041,0.6365853658536585,0.6488872930429123,0.45398773006134974,0.5386221294363256,0.7466960352422907,0.6516129032258065
nb,word,True,0.25,10,"(1, 1)",emoji_generic,stem,0.001,0.6287628045645954,0.4606741573033708,0.5404411764705883,0.7276688453159041,0.6365853658536585,0.6488872930429123,0.45398773006134974,0.5386221294363256,0.7466960352422907,0.6516129032258065
nb,word,True,0.5,10,"(1, 1)",emoji_generic,stem,0.0,0.6287628045645954,0.4606741573033708,0.5404411764705883,0.7276688453159041,0.6365853658536585,0.6488872930429123,0.45398773006134974,0.5386221294363256,0.7466960352422907,0.6516129032258065
nb,word,True,0.5,10,"(1, 1)",emoji_generic,stem,0.001,0.6287628045645954,0.4606741573033708,0.5404411764705883,0.7276688453159041,0.6365853658536585,0.6488872930429123,0.45398773006134974,0.5386221294363256,0.7466960352422907,0.6516129032258065
nb,word,True,1.0,10,"(1, 1)",emoji_generic,stem,0.0,0.6287628045645954,0.4606741573033708,0.5404411764705883,0.7276688453159041,0.6365853658536585,0.6488872930429123,0.45398773006134974,0.5386221294363256,0.7466960352422907,0.6516129032258065
nb,word,True,1.0,10,"(1, 1)",emoji_generic,stem,0.001,0.6287628045645954,0.4606741573033708,0.5404411764705883,0.7276688453159041,0.6365853658536585,0.6488872930429123,0.45398773006134974,0.5386221294363256,0.7466960352422907,0.6516129032258065
nb,word,True,0.25,10,"(1, 2)",emoji_generic,stem,0.5,0.6280879585443597,0.4835164835164835,0.5360443622920517,0.7241003271537623,0.6353658536585366,0.6511201695319682,0.4720496894409938,0.5316455696202532,0.7497267759562842,0.6541935483870968
