model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,C,class_weight,gamma,kernel,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
svm,word,True,0.25,1,"(1, 1)",no_emoji,original,5.0,,scale,rbf,0.7129032838798268,0.5325443786982248,0.6732673267326733,0.7815028901734105,0.7158536585365853,0.6955571911401126,0.46540880503144655,0.6417910447761195,0.7742690058479531,0.6967741935483871
svm,word,True,0.5,1,"(1, 1)",no_emoji,original,5.0,,scale,rbf,0.7129032838798268,0.5325443786982248,0.6732673267326733,0.7815028901734105,0.7158536585365853,0.6955571911401126,0.46540880503144655,0.6417910447761195,0.7742690058479531,0.6967741935483871
svm,word,True,1.0,1,"(1, 1)",no_emoji,original,5.0,,scale,rbf,0.7129032838798268,0.5325443786982248,0.6732673267326733,0.7815028901734105,0.7158536585365853,0.6955571911401126,0.46540880503144655,0.6417910447761195,0.7742690058479531,0.6967741935483871
svm,word,True,0.25,1,"(1, 1)",no_emoji,original,5.0,balanced,scale,rbf,0.7092599285896166,0.5297297297297298,0.6721581548599671,0.775943396226415,0.7097560975609756,0.690473272847096,0.4678362573099415,0.6466165413533834,0.7626918536009446,0.6903225806451613
svm,word,True,0.5,1,"(1, 1)",no_emoji,original,5.0,balanced,scale,rbf,0.7092599285896166,0.5297297297297298,0.6721581548599671,0.775943396226415,0.7097560975609756,0.690473272847096,0.4678362573099415,0.6466165413533834,0.7626918536009446,0.6903225806451613
svm,word,True,1.0,1,"(1, 1)",no_emoji,original,5.0,balanced,scale,rbf,0.7092599285896166,0.5297297297297298,0.6721581548599671,0.775943396226415,0.7097560975609756,0.690473272847096,0.4678362573099415,0.6466165413533834,0.7626918536009446,0.6903225806451613
svm,word,True,0.25,1,"(1, 1)",emoji_generic,original,5.0,,scale,rbf,0.7084517309197288,0.5325443786982248,0.6677577741407529,0.7767441860465116,0.7109756097560975,0.6994427058436674,0.46835443037974683,0.6404494382022471,0.7808857808857809,0.7006451612903226
svm,word,True,0.5,1,"(1, 1)",emoji_generic,original,5.0,,scale,rbf,0.7084517309197288,0.5325443786982248,0.6677577741407529,0.7767441860465116,0.7109756097560975,0.6994427058436674,0.46835443037974683,0.6404494382022471,0.7808857808857809,0.7006451612903226
svm,word,True,1.0,1,"(1, 1)",emoji_generic,original,5.0,,scale,rbf,0.7084517309197288,0.5325443786982248,0.6677577741407529,0.7767441860465116,0.7109756097560975,0.6994427058436674,0.46835443037974683,0.6404494382022471,0.7808857808857809,0.7006451612903226
svm,word,True,0.25,1,"(1, 1)",emoji_generic,original,5.0,balanced,scale,rbf,0.7072436732238341,0.5297297297297298,0.6688417618270799,0.7743467933491687,0.7073170731707317,0.6907959938057174,0.4678362573099415,0.6428571428571428,0.7650531286894923,0.6903225806451613
svm,word,True,0.5,1,"(1, 1)",emoji_generic,original,5.0,balanced,scale,rbf,0.7072436732238341,0.5297297297297298,0.6688417618270799,0.7743467933491687,0.7073170731707317,0.6907959938057174,0.4678362573099415,0.6428571428571428,0.7650531286894923,0.6903225806451613
svm,word,True,1.0,1,"(1, 1)",emoji_generic,original,5.0,balanced,scale,rbf,0.7072436732238341,0.5297297297297298,0.6688417618270799,0.7743467933491687,0.7073170731707317,0.6907959938057174,0.4678362573099415,0.6428571428571428,0.7650531286894923,0.6903225806451613
svm,word,True,0.25,1,"(1, 1)",emoji_unique,original,5.0,balanced,scale,rbf,0.706938811717374,0.5297297297297298,0.6677631578947368,0.7744982290436836,0.7073170731707317,0.6905832229422505,0.47058823529411764,0.6415094339622641,0.7647058823529411,0.6903225806451613
svm,word,True,0.5,1,"(1, 1)",emoji_unique,original,5.0,balanced,scale,rbf,0.706938811717374,0.5297297297297298,0.6677631578947368,0.7744982290436836,0.7073170731707317,0.6905832229422505,0.47058823529411764,0.6415094339622641,0.7647058823529411,0.6903225806451613
svm,word,True,1.0,1,"(1, 1)",emoji_unique,original,5.0,balanced,scale,rbf,0.706938811717374,0.5297297297297298,0.6677631578947368,0.7744982290436836,0.7073170731707317,0.6905832229422505,0.47058823529411764,0.6415094339622641,0.7647058823529411,0.6903225806451613
svm,word,True,0.25,1,"(1, 1)",emoji_unique,original,5.0,,scale,rbf,0.706824675779733,0.5207100591715975,0.6677631578947368,0.7763615295480881,0.7097560975609756,0.6992493400835393,0.46835443037974683,0.6416510318949343,0.779976717112922,0.7006451612903226
svm,word,True,0.5,1,"(1, 1)",emoji_unique,original,5.0,,scale,rbf,0.706824675779733,0.5207100591715975,0.6677631578947368,0.7763615295480881,0.7097560975609756,0.6992493400835393,0.46835443037974683,0.6416510318949343,0.779976717112922,0.7006451612903226
svm,word,True,1.0,1,"(1, 1)",emoji_unique,original,5.0,,scale,rbf,0.706824675779733,0.5207100591715975,0.6677631578947368,0.7763615295480881,0.7097560975609756,0.6992493400835393,0.46835443037974683,0.6416510318949343,0.779976717112922,0.7006451612903226
svm,word,True,0.25,1,"(1, 2)",emoji_generic,original,5.0,,scale,sigmoid,0.7012854209011041,0.5635359116022098,0.6476190476190475,0.7696019300361883,0.7,0.6570273399400933,0.48044692737430167,0.5741088180112571,0.7374701670644391,0.6516129032258065
svm,word,True,0.5,1,"(1, 2)",emoji_generic,original,5.0,,scale,sigmoid,0.7012854209011041,0.5635359116022098,0.6476190476190475,0.7696019300361883,0.7,0.6570273399400933,0.48044692737430167,0.5741088180112571,0.7374701670644391,0.6516129032258065
svm,word,True,1.0,1,"(1, 2)",emoji_generic,original,5.0,,scale,sigmoid,0.7012854209011041,0.5635359116022098,0.6476190476190475,0.7696019300361883,0.7,0.6570273399400933,0.48044692737430167,0.5741088180112571,0.7374701670644391,0.6516129032258065
svm,word,True,0.25,1,"(1, 2)",emoji_unique,original,5.0,,scale,sigmoid,0.7003439060571344,0.5568181818181819,0.6475279106858054,0.7694145758661888,0.7,0.6425330599262744,0.4245810055865922,0.5681818181818181,0.7283511269276395,0.6387096774193548
svm,word,True,0.5,1,"(1, 2)",emoji_unique,original,5.0,,scale,sigmoid,0.7003439060571344,0.5568181818181819,0.6475279106858054,0.7694145758661888,0.7,0.6425330599262744,0.4245810055865922,0.5681818181818181,0.7283511269276395,0.6387096774193548
svm,word,True,1.0,1,"(1, 2)",emoji_unique,original,5.0,,scale,sigmoid,0.7003439060571344,0.5568181818181819,0.6475279106858054,0.7694145758661888,0.7,0.6425330599262744,0.4245810055865922,0.5681818181818181,0.7283511269276395,0.6387096774193548
svm,word,True,0.25,1,"(1, 2)",emoji_unique,original,5.0,,scale,rbf,0.6998194276060408,0.5058823529411766,0.6697108066971079,0.7650676506765067,0.7,0.6882340839385069,0.4698795180722892,0.6275229357798164,0.767580452920143,0.6864516129032258
svm,word,True,0.5,1,"(1, 2)",emoji_unique,original,5.0,,scale,rbf,0.6998194276060408,0.5058823529411766,0.6697108066971079,0.7650676506765067,0.7,0.6882340839385069,0.4698795180722892,0.6275229357798164,0.767580452920143,0.6864516129032258
svm,word,True,1.0,1,"(1, 2)",emoji_unique,original,5.0,,scale,rbf,0.6998194276060408,0.5058823529411766,0.6697108066971079,0.7650676506765067,0.7,0.6882340839385069,0.4698795180722892,0.6275229357798164,0.767580452920143,0.6864516129032258
svm,word,True,0.25,1,"(1, 2)",no_emoji,original,5.0,,scale,rbf,0.6996324273860415,0.5088757396449705,0.6687022900763359,0.7647058823529413,0.7,0.6838063171227842,0.47904191616766467,0.6215722120658135,0.7607655502392345,0.6812903225806451
svm,word,True,0.5,1,"(1, 2)",no_emoji,original,5.0,,scale,rbf,0.6996324273860415,0.5088757396449705,0.6687022900763359,0.7647058823529413,0.7,0.6838063171227842,0.47904191616766467,0.6215722120658135,0.7607655502392345,0.6812903225806451
svm,word,True,1.0,1,"(1, 2)",no_emoji,original,5.0,,scale,rbf,0.6996324273860415,0.5088757396449705,0.6687022900763359,0.7647058823529413,0.7,0.6838063171227842,0.47904191616766467,0.6215722120658135,0.7607655502392345,0.6812903225806451
svm,word,True,0.25,1,"(1, 2)",emoji_generic,original,5.0,,scale,rbf,0.6987401347055833,0.5029239766081872,0.6676829268292682,0.7650676506765067,0.698780487804878,0.6882340839385069,0.4698795180722892,0.6275229357798164,0.767580452920143,0.6864516129032258
svm,word,True,0.5,1,"(1, 2)",emoji_generic,original,5.0,,scale,rbf,0.6987401347055833,0.5029239766081872,0.6676829268292682,0.7650676506765067,0.698780487804878,0.6882340839385069,0.4698795180722892,0.6275229357798164,0.767580452920143,0.6864516129032258
svm,word,True,1.0,1,"(1, 2)",emoji_generic,original,5.0,,scale,rbf,0.6987401347055833,0.5029239766081872,0.6676829268292682,0.7650676506765067,0.698780487804878,0.6882340839385069,0.4698795180722892,0.6275229357798164,0.767580452920143,0.6864516129032258
svm,word,True,0.25,1,"(1, 2)",emoji_unique,original,5.0,balanced,scale,rbf,0.6959400276429906,0.536312849162011,0.6715758468335787,0.7493606138107417,0.6939024390243902,0.686201252809985,0.4912280701754387,0.6308243727598567,0.7576126674786844,0.6825806451612904
