model,analyzer,lowercase,max_df,min_df,ngram_range,type,alpha,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
nb,word,True,0.25,1,"(1, 1)",lemma,0.0,0.7058922684464415,0.4385382059800665,0.8330733229329171,0.45704467353951883,0.7395833333333334,0.6758553515802634,0.39263803680981596,0.8049132947976879,0.5115020297699594,0.7095366017461383
nb,word,True,0.5,1,"(1, 1)",lemma,0.0,0.7058922684464415,0.4385382059800665,0.8330733229329171,0.45704467353951883,0.7395833333333334,0.6758553515802634,0.39263803680981596,0.8049132947976879,0.5115020297699594,0.7095366017461383
nb,word,True,1.0,1,"(1, 1)",lemma,0.0,0.7058922684464415,0.4385382059800665,0.8330733229329171,0.45704467353951883,0.7395833333333334,0.6758553515802634,0.39263803680981596,0.8049132947976879,0.5115020297699594,0.7095366017461383
nb,word,True,0.25,1,"(1, 1)",lemma,0.01,0.7056678050524158,0.44370860927152317,0.8331476943640009,0.45478036175710596,0.7395833333333334,0.6769987896935928,0.41590214067278286,0.8050072219547425,0.5098305084745763,0.7105439892545332
nb,word,True,0.5,1,"(1, 1)",lemma,0.01,0.7056678050524158,0.44370860927152317,0.8331476943640009,0.45478036175710596,0.7395833333333334,0.6769987896935928,0.41590214067278286,0.8050072219547425,0.5098305084745763,0.7105439892545332
nb,word,True,1.0,1,"(1, 1)",lemma,0.01,0.7056678050524158,0.44370860927152317,0.8331476943640009,0.45478036175710596,0.7395833333333334,0.6769987896935928,0.41590214067278286,0.8050072219547425,0.5098305084745763,0.7105439892545332
nb,word,True,0.25,1,"(1, 1)",lemma,0.001,0.7054108541138868,0.4385382059800665,0.8328877005347594,0.45571797076526227,0.739247311827957,0.6761498299486008,0.39755351681957185,0.8052010594750781,0.5108401084010841,0.7098723975822699
nb,word,True,0.5,1,"(1, 1)",lemma,0.001,0.7054108541138868,0.4385382059800665,0.8328877005347594,0.45571797076526227,0.739247311827957,0.6761498299486008,0.39755351681957185,0.8052010594750781,0.5108401084010841,0.7098723975822699
nb,word,True,1.0,1,"(1, 1)",lemma,0.001,0.7054108541138868,0.4385382059800665,0.8328877005347594,0.45571797076526227,0.739247311827957,0.6761498299486008,0.39755351681957185,0.8052010594750781,0.5108401084010841,0.7098723975822699
nb,word,True,0.25,1,"(1, 1)",lemma,0.1,0.7033772589537505,0.4383561643835616,0.8352134483521344,0.4424934152765584,0.7405913978494624,0.6728938009934259,0.3737704918032787,0.8041237113402062,0.5081081081081081,0.7085292142377434
nb,word,True,0.5,1,"(1, 1)",lemma,0.1,0.7033772589537505,0.4383561643835616,0.8352134483521344,0.4424934152765584,0.7405913978494624,0.6728938009934259,0.3737704918032787,0.8041237113402062,0.5081081081081081,0.7085292142377434
nb,word,True,1.0,1,"(1, 1)",lemma,0.1,0.7033772589537505,0.4383561643835616,0.8352134483521344,0.4424934152765584,0.7405913978494624,0.6728938009934259,0.3737704918032787,0.8041237113402062,0.5081081081081081,0.7085292142377434
nb,word,True,0.25,1,"(1, 1)",stem,0.1,0.7021051580002907,0.4161073825503356,0.8333333333333333,0.44778761061946903,0.739247311827957,0.6751229688370158,0.3815789473684211,0.8039499036608863,0.5133333333333334,0.7092008059100067
nb,word,True,0.5,1,"(1, 1)",stem,0.1,0.7021051580002907,0.4161073825503356,0.8333333333333333,0.44778761061946903,0.739247311827957,0.6751229688370158,0.3815789473684211,0.8039499036608863,0.5133333333333334,0.7092008059100067
nb,word,True,1.0,1,"(1, 1)",stem,0.1,0.7021051580002907,0.4161073825503356,0.8333333333333333,0.44778761061946903,0.739247311827957,0.6751229688370158,0.3815789473684211,0.8039499036608863,0.5133333333333334,0.7092008059100067
nb,word,True,0.25,1,"(1, 2)",lemma,0.01,0.7017460879822555,0.43790849673202614,0.8288409703504044,0.4522613065326633,0.7331989247311828,0.6803387415944335,0.4695652173913044,0.802526111246053,0.5127175368139223,0.7105439892545332
nb,word,True,0.5,1,"(1, 2)",lemma,0.01,0.7017460879822555,0.43790849673202614,0.8288409703504044,0.4522613065326633,0.7331989247311828,0.6803387415944335,0.4695652173913044,0.802526111246053,0.5127175368139223,0.7105439892545332
nb,word,True,1.0,1,"(1, 2)",lemma,0.01,0.7017460879822555,0.43790849673202614,0.8288409703504044,0.4522613065326633,0.7331989247311828,0.6803387415944335,0.4695652173913044,0.802526111246053,0.5127175368139223,0.7105439892545332
nb,word,True,0.25,1,"(1, 1)",original,0.01,0.7016851796350765,0.4480519480519481,0.8315508021390374,0.4429065743944637,0.7362231182795699,0.6750959658397452,0.3963963963963964,0.8031876358367543,0.5114709851551957,0.7078576225654802
nb,word,True,0.5,1,"(1, 1)",original,0.01,0.7016851796350765,0.4480519480519481,0.8315508021390374,0.4429065743944637,0.7362231182795699,0.6750959658397452,0.3963963963963964,0.8031876358367543,0.5114709851551957,0.7078576225654802
nb,word,True,1.0,1,"(1, 1)",original,0.01,0.7016851796350765,0.4480519480519481,0.8315508021390374,0.4429065743944637,0.7362231182795699,0.6750959658397452,0.3963963963963964,0.8031876358367543,0.5114709851551957,0.7078576225654802
nb,word,True,0.25,1,"(1, 1)",stem,0.01,0.7013382415247728,0.42172523961661346,0.8306254173158245,0.450261780104712,0.7358870967741935,0.6772568556955731,0.3936507936507936,0.804725168756027,0.5157401205626255,0.7105439892545332
nb,word,True,0.5,1,"(1, 1)",stem,0.01,0.7013382415247728,0.42172523961661346,0.8306254173158245,0.450261780104712,0.7358870967741935,0.6772568556955731,0.3936507936507936,0.804725168756027,0.5157401205626255,0.7105439892545332
nb,word,True,1.0,1,"(1, 1)",stem,0.01,0.7013382415247728,0.42172523961661346,0.8306254173158245,0.450261780104712,0.7358870967741935,0.6772568556955731,0.3936507936507936,0.804725168756027,0.5157401205626255,0.7105439892545332
nb,word,True,0.25,1,"(1, 1)",stem,0.0,0.7007983724073164,0.4244372990353698,0.8302558398220244,0.44851657940663175,0.7355510752688172,0.675045700622713,0.3746031746031746,0.8034723896792862,0.5153949129852745,0.7085292142377434
nb,word,True,0.5,1,"(1, 1)",stem,0.0,0.7007983724073164,0.4244372990353698,0.8302558398220244,0.44851657940663175,0.7355510752688172,0.675045700622713,0.3746031746031746,0.8034723896792862,0.5153949129852745,0.7085292142377434
nb,word,True,1.0,1,"(1, 1)",stem,0.0,0.7007983724073164,0.4244372990353698,0.8302558398220244,0.44851657940663175,0.7355510752688172,0.675045700622713,0.3746031746031746,0.8034723896792862,0.5153949129852745,0.7085292142377434
nb,word,True,0.25,1,"(1, 1)",stem,0.001,0.7007983724073164,0.4244372990353698,0.8302558398220244,0.44851657940663175,0.7355510752688172,0.674593698774984,0.3746031746031746,0.8032786885245902,0.5144005358338914,0.7081934184016119
nb,word,True,0.5,1,"(1, 1)",stem,0.001,0.7007983724073164,0.4244372990353698,0.8302558398220244,0.44851657940663175,0.7355510752688172,0.674593698774984,0.3746031746031746,0.8032786885245902,0.5144005358338914,0.7081934184016119
nb,word,True,1.0,1,"(1, 1)",stem,0.001,0.7007983724073164,0.4244372990353698,0.8302558398220244,0.44851657940663175,0.7355510752688172,0.674593698774984,0.3746031746031746,0.8032786885245902,0.5144005358338914,0.7081934184016119
nb,word,True,0.25,1,"(1, 1)",original,0.1,0.7006450556407714,0.42666666666666664,0.8324828045262924,0.4419213973799126,0.7368951612903226,0.6698061975984192,0.3648208469055374,0.8024928092042185,0.5037237643872716,0.7058428475486904
nb,word,True,0.5,1,"(1, 1)",original,0.1,0.7006450556407714,0.42666666666666664,0.8324828045262924,0.4419213973799126,0.7368951612903226,0.6698061975984192,0.3648208469055374,0.8024928092042185,0.5037237643872716,0.7058428475486904
nb,word,True,1.0,1,"(1, 1)",original,0.1,0.7006450556407714,0.42666666666666664,0.8324828045262924,0.4419213973799126,0.7368951612903226,0.6698061975984192,0.3648208469055374,0.8024928092042185,0.5037237643872716,0.7058428475486904
nb,word,True,0.25,1,"(1, 1)",original,0.001,0.6999261875032929,0.44155844155844154,0.830398930242924,0.44079515989628343,0.7345430107526881,0.6710227442622946,0.3696969696969697,0.8022190062711047,0.5067567567567568,0.7048354600402955
nb,word,True,0.5,1,"(1, 1)",original,0.001,0.6999261875032929,0.44155844155844154,0.830398930242924,0.44079515989628343,0.7345430107526881,0.6710227442622946,0.3696969696969697,0.8022190062711047,0.5067567567567568,0.7048354600402955
nb,word,True,1.0,1,"(1, 1)",original,0.001,0.6999261875032929,0.44155844155844154,0.830398930242924,0.44079515989628343,0.7345430107526881,0.6710227442622946,0.3696969696969697,0.8022190062711047,0.5067567567567568,0.7048354600402955
nb,word,True,0.25,1,"(1, 1)",original,0.0,0.6997062576135878,0.44299674267100975,0.8304744932056138,0.43944636678200694,0.7345430107526881,0.6705560440479807,0.36474164133738607,0.8020255606462503,0.5067567567567568,0.7044996642041639
nb,word,True,0.5,1,"(1, 1)",original,0.0,0.6997062576135878,0.44299674267100975,0.8304744932056138,0.43944636678200694,0.7345430107526881,0.6705560440479807,0.36474164133738607,0.8020255606462503,0.5067567567567568,0.7044996642041639
nb,word,True,1.0,1,"(1, 1)",original,0.0,0.6997062576135878,0.44299674267100975,0.8304744932056138,0.43944636678200694,0.7345430107526881,0.6705560440479807,0.36474164133738607,0.8020255606462503,0.5067567567567568,0.7044996642041639
nb,word,True,0.25,1,"(1, 2)",stem,0.01,0.6989927320001713,0.4358974358974359,0.8254039497307002,0.4510135135135135,0.730510752688172,0.6831871915581599,0.47904191616766467,0.8030119018702939,0.5182724252491695,0.7128945601074547
nb,word,True,0.5,1,"(1, 2)",stem,0.01,0.6989927320001713,0.4358974358974359,0.8254039497307002,0.4510135135135135,0.730510752688172,0.6831871915581599,0.47904191616766467,0.8030119018702939,0.5182724252491695,0.7128945601074547
nb,word,True,1.0,1,"(1, 2)",stem,0.01,0.6989927320001713,0.4358974358974359,0.8254039497307002,0.4510135135135135,0.730510752688172,0.6831871915581599,0.47904191616766467,0.8030119018702939,0.5182724252491695,0.7128945601074547
nb,word,True,0.25,1,"(1, 3)",stem,0.01,0.6989084484264684,0.43870967741935485,0.8268930087111905,0.4463519313304721,0.7321908602150538,0.6823031327053622,0.46987951807228917,0.8028169014084507,0.5179282868525896,0.7122229684351914
nb,word,True,0.5,1,"(1, 3)",stem,0.01,0.6989084484264684,0.43870967741935485,0.8268930087111905,0.4463519313304721,0.7321908602150538,0.6823031327053622,0.46987951807228917,0.8028169014084507,0.5179282868525896,0.7122229684351914
nb,word,True,1.0,1,"(1, 3)",stem,0.01,0.6989084484264684,0.43870967741935485,0.8268930087111905,0.4463519313304721,0.7321908602150538,0.6823031327053622,0.46987951807228917,0.8028169014084507,0.5179282868525896,0.7122229684351914
nb,word,True,0.25,1,"(1, 3)",lemma,0.001,0.6984615973477759,0.43934426229508194,0.8276943759802823,0.4425675675675676,0.7311827956989247,0.6768451892715337,0.4391691394658753,0.8004854368932038,0.5123415610406938,0.7075218267293486
nb,word,True,0.5,1,"(1, 3)",lemma,0.001,0.6984615973477759,0.43934426229508194,0.8276943759802823,0.4425675675675676,0.7311827956989247,0.6768451892715337,0.4391691394658753,0.8004854368932038,0.5123415610406938,0.7075218267293486
