model,analyzer,lowercase,max_df,min_df,ngram_range,processing,type,alpha,val_f1_weighted,val_f1_neg,val_f1_zero,val_f1_pos,val_accuracy,test_f1_weighted,test_f1_neg,test_f1_zero,test_f1_pos,test_accuracy
nb,word,True,0.25,1,"(1, 1)",new,original,0.25,0.642346936591656,0.5671641791044776,0.5207100591715977,0.742489270386266,0.6524390243902439,0.6363180668497799,0.4642857142857143,0.49321266968325794,0.7446808510638296,0.6425806451612903
nb,word,True,0.5,1,"(1, 1)",new,original,0.25,0.642346936591656,0.5671641791044776,0.5207100591715977,0.742489270386266,0.6524390243902439,0.6363180668497799,0.4642857142857143,0.49321266968325794,0.7446808510638296,0.6425806451612903
nb,word,True,1.0,1,"(1, 1)",new,original,0.25,0.642346936591656,0.5671641791044776,0.5207100591715977,0.742489270386266,0.6524390243902439,0.6363180668497799,0.4642857142857143,0.49321266968325794,0.7446808510638296,0.6425806451612903
nb,word,True,0.25,1,"(1, 1)",new,original,0.1,0.6386013040451982,0.5507246376811594,0.5098814229249012,0.7464940668824164,0.6487804878048781,0.6340086294884302,0.47191011235955055,0.4920273348519363,0.7395498392282958,0.6387096774193548
nb,word,True,0.5,1,"(1, 1)",new,original,0.1,0.6386013040451982,0.5507246376811594,0.5098814229249012,0.7464940668824164,0.6487804878048781,0.6340086294884302,0.47191011235955055,0.4920273348519363,0.7395498392282958,0.6387096774193548
nb,word,True,1.0,1,"(1, 1)",new,original,0.1,0.6386013040451982,0.5507246376811594,0.5098814229249012,0.7464940668824164,0.6487804878048781,0.6340086294884302,0.47191011235955055,0.4920273348519363,0.7395498392282958,0.6387096774193548
nb,word,True,0.25,1,"(1, 1)",new,original,0.5,0.6357662663633291,0.5578947368421052,0.5166340508806262,0.7348242811501597,0.6463414634146342,0.6298318577480696,0.4320987654320988,0.4825986078886311,0.7460815047021945,0.64
nb,word,True,0.5,1,"(1, 1)",new,original,0.5,0.6357662663633291,0.5578947368421052,0.5166340508806262,0.7348242811501597,0.6463414634146342,0.6298318577480696,0.4320987654320988,0.4825986078886311,0.7460815047021945,0.64
nb,word,True,1.0,1,"(1, 1)",new,original,0.5,0.6357662663633291,0.5578947368421052,0.5166340508806262,0.7348242811501597,0.6463414634146342,0.6298318577480696,0.4320987654320988,0.4825986078886311,0.7460815047021945,0.64
nb,word,True,0.25,1,"(1, 1)",new,lemma,0.25,0.6331938319834022,0.5686274509803921,0.503968253968254,0.7360515021459227,0.6439024390243903,0.6385475947061885,0.4678362573099415,0.5045045045045046,0.7422459893048128,0.6438709677419355
nb,word,True,0.5,1,"(1, 1)",new,lemma,0.25,0.6331938319834022,0.5686274509803921,0.503968253968254,0.7360515021459227,0.6439024390243903,0.6385475947061885,0.4678362573099415,0.5045045045045046,0.7422459893048128,0.6438709677419355
nb,word,True,1.0,1,"(1, 1)",new,lemma,0.25,0.6331938319834022,0.5686274509803921,0.503968253968254,0.7360515021459227,0.6439024390243903,0.6385475947061885,0.4678362573099415,0.5045045045045046,0.7422459893048128,0.6438709677419355
nb,word,True,0.25,1,"(1, 3)",new,original,0.25,0.6328581458894172,0.5113636363636364,0.5224171539961013,0.7360672975814931,0.6451219512195122,0.6291349411777327,0.4516129032258065,0.4658823529411765,0.7484536082474227,0.6412903225806451
nb,word,True,0.5,1,"(1, 3)",new,original,0.25,0.6328581458894172,0.5113636363636364,0.5224171539961013,0.7360672975814931,0.6451219512195122,0.6291349411777327,0.4516129032258065,0.4658823529411765,0.7484536082474227,0.6412903225806451
nb,word,True,1.0,1,"(1, 3)",new,original,0.25,0.6328581458894172,0.5113636363636364,0.5224171539961013,0.7360672975814931,0.6451219512195122,0.6291349411777327,0.4516129032258065,0.4658823529411765,0.7484536082474227,0.6412903225806451
nb,word,True,0.25,1,"(1, 2)",new,original,0.25,0.6303297398497777,0.5027322404371585,0.520388349514563,0.7346072186836516,0.6414634146341464,0.6270227454842943,0.45,0.4662004662004662,0.7450572320499479,0.6374193548387097
nb,word,True,0.5,1,"(1, 2)",new,original,0.25,0.6303297398497777,0.5027322404371585,0.520388349514563,0.7346072186836516,0.6414634146341464,0.6270227454842943,0.45,0.4662004662004662,0.7450572320499479,0.6374193548387097
nb,word,True,1.0,1,"(1, 2)",new,original,0.25,0.6303297398497777,0.5027322404371585,0.520388349514563,0.7346072186836516,0.6414634146341464,0.6270227454842943,0.45,0.4662004662004662,0.7450572320499479,0.6374193548387097
nb,word,True,0.25,1,"(1, 1)",new,lemma,0.1,0.6299558946234595,0.5497630331753555,0.5019607843137255,0.735582154515778,0.6390243902439025,0.6429238853395364,0.4888888888888889,0.510158013544018,0.7421790722761596,0.6464516129032258
nb,word,True,0.5,1,"(1, 1)",new,lemma,0.1,0.6299558946234595,0.5497630331753555,0.5019607843137255,0.735582154515778,0.6390243902439025,0.6429238853395364,0.4888888888888889,0.510158013544018,0.7421790722761596,0.6464516129032258
nb,word,True,1.0,1,"(1, 1)",new,lemma,0.1,0.6299558946234595,0.5497630331753555,0.5019607843137255,0.735582154515778,0.6390243902439025,0.6429238853395364,0.4888888888888889,0.510158013544018,0.7421790722761596,0.6464516129032258
nb,word,True,0.25,1,"(1, 1)",new,lemma,0.5,0.6297662623144674,0.5445026178010471,0.5069306930693069,0.7330508474576272,0.6414634146341464,0.6309651520473921,0.4294478527607362,0.4895104895104895,0.7453027139874738,0.6412903225806451
nb,word,True,0.5,1,"(1, 1)",new,lemma,0.5,0.6297662623144674,0.5445026178010471,0.5069306930693069,0.7330508474576272,0.6414634146341464,0.6309651520473921,0.4294478527607362,0.4895104895104895,0.7453027139874738,0.6412903225806451
nb,word,True,1.0,1,"(1, 1)",new,lemma,0.5,0.6297662623144674,0.5445026178010471,0.5069306930693069,0.7330508474576272,0.6414634146341464,0.6309651520473921,0.4294478527607362,0.4895104895104895,0.7453027139874738,0.6412903225806451
nb,word,True,0.25,1,"(1, 2)",new,original,0.1,0.6290211910791997,0.49746192893401014,0.5153846153846153,0.7367280606717227,0.6378048780487805,0.6330922835295535,0.4941176470588235,0.4798206278026906,0.7387580299785866,0.6374193548387097
nb,word,True,0.5,1,"(1, 2)",new,original,0.1,0.6290211910791997,0.49746192893401014,0.5153846153846153,0.7367280606717227,0.6378048780487805,0.6330922835295535,0.4941176470588235,0.4798206278026906,0.7387580299785866,0.6374193548387097
nb,word,True,1.0,1,"(1, 2)",new,original,0.1,0.6290211910791997,0.49746192893401014,0.5153846153846153,0.7367280606717227,0.6378048780487805,0.6330922835295535,0.4941176470588235,0.4798206278026906,0.7387580299785866,0.6374193548387097
nb,word,True,0.25,1,"(1, 3)",new,original,0.1,0.628259206350192,0.49473684210526314,0.523719165085389,0.7302275189599133,0.6365853658536585,0.6311031598102443,0.47904191616766467,0.4832214765100671,0.7371794871794871,0.6361290322580645
nb,word,True,0.5,1,"(1, 3)",new,original,0.1,0.628259206350192,0.49473684210526314,0.523719165085389,0.7302275189599133,0.6365853658536585,0.6311031598102443,0.47904191616766467,0.4832214765100671,0.7371794871794871,0.6361290322580645
nb,word,True,1.0,1,"(1, 3)",new,original,0.1,0.628259206350192,0.49473684210526314,0.523719165085389,0.7302275189599133,0.6365853658536585,0.6311031598102443,0.47904191616766467,0.4832214765100671,0.7371794871794871,0.6361290322580645
nb,word,True,0.25,10,"(1, 1)",new,stem,0.1,0.6255831914434751,0.47513812154696133,0.5350553505535055,0.7219193020719739,0.6329268292682927,0.64443540913413,0.4662576687116564,0.5260960334029228,0.7422907488986785,0.6464516129032258
nb,word,True,0.5,10,"(1, 1)",new,stem,0.1,0.6255831914434751,0.47513812154696133,0.5350553505535055,0.7219193020719739,0.6329268292682927,0.64443540913413,0.4662576687116564,0.5260960334029228,0.7422907488986785,0.6464516129032258
nb,word,True,1.0,10,"(1, 1)",new,stem,0.1,0.6255831914434751,0.47513812154696133,0.5350553505535055,0.7219193020719739,0.6329268292682927,0.64443540913413,0.4662576687116564,0.5260960334029228,0.7422907488986785,0.6464516129032258
nb,word,True,0.25,10,"(1, 1)",new,stem,0.5,0.6254514489445009,0.47191011235955055,0.5357798165137615,0.7219193020719739,0.6329268292682927,0.64443540913413,0.4662576687116564,0.5260960334029228,0.7422907488986785,0.6464516129032258
nb,word,True,0.5,10,"(1, 1)",new,stem,0.5,0.6254514489445009,0.47191011235955055,0.5357798165137615,0.7219193020719739,0.6329268292682927,0.64443540913413,0.4662576687116564,0.5260960334029228,0.7422907488986785,0.6464516129032258
nb,word,True,1.0,10,"(1, 1)",new,stem,0.5,0.6254514489445009,0.47191011235955055,0.5357798165137615,0.7219193020719739,0.6329268292682927,0.64443540913413,0.4662576687116564,0.5260960334029228,0.7422907488986785,0.6464516129032258
nb,word,True,0.25,10,"(1, 1)",new,original,1.0,0.6243788261015691,0.47058823529411764,0.5491651205936919,0.7110633727175081,0.6329268292682927,0.5988548851997101,0.37974683544303794,0.46610169491525427,0.7130434782608696,0.6038709677419355
nb,word,True,0.5,10,"(1, 1)",new,original,1.0,0.6243788261015691,0.47058823529411764,0.5491651205936919,0.7110633727175081,0.6329268292682927,0.5988548851997101,0.37974683544303794,0.46610169491525427,0.7130434782608696,0.6038709677419355
nb,word,True,1.0,10,"(1, 1)",new,original,1.0,0.6243788261015691,0.47058823529411764,0.5491651205936919,0.7110633727175081,0.6329268292682927,0.5988548851997101,0.37974683544303794,0.46610169491525427,0.7130434782608696,0.6038709677419355
nb,word,True,0.25,10,"(1, 2)",new,stem,0.1,0.624207510310241,0.47513812154696133,0.532347504621072,0.7211328976034859,0.6317073170731707,0.6501540640142228,0.475,0.5324947589098533,0.7469879518072288,0.6529032258064517
nb,word,True,0.25,10,"(1, 3)",new,stem,0.1,0.624207510310241,0.47513812154696133,0.532347504621072,0.7211328976034859,0.6317073170731707,0.6501540640142228,0.475,0.5324947589098533,0.7469879518072288,0.6529032258064517
nb,word,True,0.5,10,"(1, 2)",new,stem,0.1,0.624207510310241,0.47513812154696133,0.532347504621072,0.7211328976034859,0.6317073170731707,0.6501540640142228,0.475,0.5324947589098533,0.7469879518072288,0.6529032258064517
nb,word,True,0.5,10,"(1, 3)",new,stem,0.1,0.624207510310241,0.47513812154696133,0.532347504621072,0.7211328976034859,0.6317073170731707,0.6501540640142228,0.475,0.5324947589098533,0.7469879518072288,0.6529032258064517
nb,word,True,1.0,10,"(1, 2)",new,stem,0.1,0.624207510310241,0.47513812154696133,0.532347504621072,0.7211328976034859,0.6317073170731707,0.6501540640142228,0.475,0.5324947589098533,0.7469879518072288,0.6529032258064517
nb,word,True,1.0,10,"(1, 3)",new,stem,0.1,0.624207510310241,0.47513812154696133,0.532347504621072,0.7211328976034859,0.6317073170731707,0.6501540640142228,0.475,0.5324947589098533,0.7469879518072288,0.6529032258064517
nb,word,True,0.25,1,"(1, 1)",new,stem,0.5,0.6241153570291889,0.5204081632653061,0.4959349593495935,0.7352941176470589,0.6378048780487805,0.6277903878209118,0.44578313253012053,0.47926267281105994,0.7410526315789473,0.6361290322580645
nb,word,True,0.5,1,"(1, 1)",new,stem,0.5,0.6241153570291889,0.5204081632653061,0.4959349593495935,0.7352941176470589,0.6378048780487805,0.6277903878209118,0.44578313253012053,0.47926267281105994,0.7410526315789473,0.6361290322580645
nb,word,True,1.0,1,"(1, 1)",new,stem,0.5,0.6241153570291889,0.5204081632653061,0.4959349593495935,0.7352941176470589,0.6378048780487805,0.6277903878209118,0.44578313253012053,0.47926267281105994,0.7410526315789473,0.6361290322580645
nb,word,True,0.25,1,"(1, 1)",new,original,1.0,0.6238839256310026,0.5090909090909091,0.49794238683127573,0.7360970677451971,0.6426829268292683,0.6114063356840703,0.37837837837837834,0.446078431372549,0.7444668008048289,0.6309677419354839
nb,word,True,0.5,1,"(1, 1)",new,original,1.0,0.6238839256310026,0.5090909090909091,0.49794238683127573,0.7360970677451971,0.6426829268292683,0.6114063356840703,0.37837837837837834,0.446078431372549,0.7444668008048289,0.6309677419354839
nb,word,True,1.0,1,"(1, 1)",new,original,1.0,0.6238839256310026,0.5090909090909091,0.49794238683127573,0.7360970677451971,0.6426829268292683,0.6114063356840703,0.37837837837837834,0.446078431372549,0.7444668008048289,0.6309677419354839
nb,word,True,0.25,10,"(1, 1)",new,stem,0.01,0.6238026578779503,0.4606741573033708,0.5340699815837937,0.7225244831338411,0.6317073170731707,0.6426876089035113,0.45679012345679015,0.5260960334029228,0.7414741474147415,0.6451612903225806
nb,word,True,0.5,10,"(1, 1)",new,stem,0.01,0.6238026578779503,0.4606741573033708,0.5340699815837937,0.7225244831338411,0.6317073170731707,0.6426876089035113,0.45679012345679015,0.5260960334029228,0.7414741474147415,0.6451612903225806
nb,word,True,1.0,10,"(1, 1)",new,stem,0.01,0.6238026578779503,0.4606741573033708,0.5340699815837937,0.7225244831338411,0.6317073170731707,0.6426876089035113,0.45679012345679015,0.5260960334029228,0.7414741474147415,0.6451612903225806
nb,word,True,0.25,1,"(1, 1)",new,stem,0.25,0.6234577169899054,0.5314009661835749,0.501002004008016,0.7280513918629552,0.6341463414634146,0.6415665325346314,0.4624277456647399,0.5067264573991032,0.7475832438238453,0.6464516129032258
nb,word,True,0.5,1,"(1, 1)",new,stem,0.25,0.6234577169899054,0.5314009661835749,0.501002004008016,0.7280513918629552,0.6341463414634146,0.6415665325346314,0.4624277456647399,0.5067264573991032,0.7475832438238453,0.6464516129032258
nb,word,True,1.0,1,"(1, 1)",new,stem,0.25,0.6234577169899054,0.5314009661835749,0.501002004008016,0.7280513918629552,0.6341463414634146,0.6415665325346314,0.4624277456647399,0.5067264573991032,0.7475832438238453,0.6464516129032258
nb,word,True,0.25,10,"(1, 1)",new,stem,0.0,0.6234188090790531,0.4519774011299435,0.5350553505535055,0.723127035830619,0.6317073170731707,0.6426876089035113,0.45679012345679015,0.5260960334029228,0.7414741474147415,0.6451612903225806
nb,word,True,0.25,10,"(1, 1)",new,stem,0.001,0.6234188090790531,0.4519774011299435,0.5350553505535055,0.723127035830619,0.6317073170731707,0.6426876089035113,0.45679012345679015,0.5260960334029228,0.7414741474147415,0.6451612903225806
nb,word,True,0.5,10,"(1, 1)",new,stem,0.0,0.6234188090790531,0.4519774011299435,0.5350553505535055,0.723127035830619,0.6317073170731707,0.6426876089035113,0.45679012345679015,0.5260960334029228,0.7414741474147415,0.6451612903225806
